序号,商品标题,商品描述,平台,价格(元),商品类型
76,两个一起出，可做闺蜜ID情侣ID，名字好听适合女生,两个一起出，可做闺蜜ID情侣ID，名字好听适合女生,,520,情侣/闺蜜ID
77,王者荣耀世界id听细雨绵绵,王者荣耀世界id听细雨绵绵,,199,三字及以上ID
78,极品单子ID佖,极品单子ID佖,,188,特殊含义ID
79,极品双字ID：绘猫,极品双字ID：绘猫,,1800,双字ID
80,王者荣耀世界双字id溺晚,王者荣耀世界双字id溺晚,,399,双字ID
81,王者荣耀世界极品单字id：矓,王者荣耀世界极品单字id：矓,,188888,单字ID
82,王者荣耀世界ID：剫，要的来,王者荣耀世界ID：剫，要的来,,120,普通ID
83,王者荣耀世界id夜色漫漫,王者荣耀世界id夜色漫漫,,266,三字及以上ID
84,安卓QQ ¥ 69 125人看过 11人想要,安卓QQ ¥ 69 125人看过 11人想要,安卓QQ,69,普通ID
85,单字id连q一起出,单字id连q一起出,,266,单字ID
86,极品双字ID梁子,极品双字ID梁子,,520,双字ID
87,ID   景甜  喜欢的价格可议,ID   景甜  喜欢的价格可议,,40000,明星名人ID
88,单字id 连q一起出,单字id 连q一起出,,366,单字ID
89,王者荣耀世界id:大肥婆西施,王者荣耀世界id:大肥婆西施,,2778,三字及以上ID
90,正版id花架,正版id花架,,288,特殊含义ID
91,单字id：埦,单字id：埦,,311,单字ID
92,单字ID：嬀,单字ID：嬀,,243,单字ID
93,王者荣耀世界正版id无代码,王者荣耀世界正版id无代码,,2000,特殊含义ID
94,便宜出出单字id唷,便宜出出单字id唷,,400,单字ID
95,王者荣耀世界id,王者荣耀世界id,,599,普通ID
96,双字ID：吻枫,双字ID：吻枫,,288,双字ID
97,出极品双字id睡去,出极品双字id睡去,,688,双字ID
98,王者世界ID：OOO,王者世界ID：OOO,,100,普通ID
99,小极品带号出 lemo,小极品带号出 lemo,,300,特殊含义ID
100,王者荣耀世界ID：美女儿,王者荣耀世界ID：美女儿,,130,三字及以上ID
